Make;Model;Specification;Powerplant;Gearbox;Option_packs;Length;Width excl mirrors;Width incl mirrors;Height;Wheelbase;Ground clearance;Approach angle;Departure angle;Ramp/breakover angle;Turning circle;Kerb weight (DIN);GVWR;Max payload;Max roof load;Max tow braked;Max tow unbraked;Max nose load;Drag coefficient Cd;Body type;Number of doors;Number of seats;Cargo volume rear seats up;Cargo volume max seats folded;Frunk volume;Fuel tank capacity;AdBlue/DEF tank capacity;Battery capacity gross;Battery capacity usable;System voltage;On-board AC charger;Max DC charging power;Charging time AC 0–100%;Charging time DC 10–80%;Electric range WLTP combined;Electric range WLTP city;Combined range;Engine type;Engine displacement;Number of cylinders;Max power (kW);Max power (hp);Max torque;Torque rpm;Motor power front;Motor power rear;System power (kW);System power (hp);System torque (LC);Transmission type;Number of gears;Final drive ratio;Drive layout;Differential type;0–100 km/h;0–60 mph;80–120 km/h kickdown;Top speed;Top speed EV mode;Quarter mile time;Quarter mile speed;Power-to-weight;Fuel consumption combined WLTP;Fuel consumption urban;Fuel consumption extra-urban;Fuel consumption mpg UK;Electric consumption WLTP;CO2 WLTP;NOx;Particles/PN;Emission standard;Recuperation peak;Drive-by noise;Front suspension type;Rear suspension type;Front brake type/size;Rear brake type/size;Front disc diameter;Rear disc diameter;Front caliper pistons;Rear caliper pistons;Wheel size front;Wheel size rear;Rim width front;Rim width rear;Tire size front;Tire size rear;Spare wheel size;Headlight type;DRL type;Rear light type;Upholstery material;Front headroom;Rear headroom;Front legroom;Rear legroom;Front shoulder room;Rear shoulder room;Front hip room;Rear hip room;Cabin noise 100 km/h;Infotainment screen size;Instrument cluster size;Speaker count;Amplifier power;USB ports count;12V outlets count;Wireless charging power;Safety rating;Airbag count;ISOFIX positions;Basic warranty;Powertrain warranty;Battery warranty;Service interval;MSRP base (Sweden);Destination fee;Production country;Platform code;Sunroof/pano roof;Convertible roof;Roof rails;Tow hitch factory;AWD;RWD option present;Locking center diff;Locking rear diff;Adaptive suspension (PASM);Air suspension;Rear-axle steering;Active roll stabilization;ABS;ESC/PSM;Traction control;Brake-by-wire;Regenerative braking;One-pedal mode;LED headlights;Matrix/adaptive headlights;Automatic high beam;Front fog lights;Headlight washers;Keyless entry/start;Remote pre-conditioning;Power tailgate;Hands-free tailgate;Soft-close doors;Heated front seats;Ventilated front seats;Heated rear seats;Power driver seat;Memory seats;Massage seats;Heated steering wheel;Dual-zone climate;Tri/4-zone climate;Heat pump;App pre-heat;Wireless CarPlay/AA;Built-in navigation;HUD;Premium audio brand;Rear entertainment;360° camera;Parking sensors front;Parking sensors rear;Auto parking assist;Adaptive cruise;Lane keeping;Blind-spot monitoring;Rear cross-traffic alert;AEB;Traffic sign recognition;Driver monitoring;OTA updates;V2L/V2G capable;Run-flat tires;source_url_main;source_urls_supporting;retrieval_date
Porsche;Taycan;Taycan;Elektrisk;Automatisk;;4.963;1.966;2.144;1.379;2.9;;;;;;2170.0;2880.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;410.0;;;;300.0;408.0;;Automatisk;;;RWD;;4.8;;;230.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 240 000;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan 4;Elektrisk;Automatisk;;4.963;1.966;2.144;1.379;2.9;;;;;;2170.0;2880.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;585.0;;;;300.0;408.0;;Automatisk;;;AWD;;4.6;;;230.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 290 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan 4S;Elektrisk;Automatisk;;4.963;1.966;2.144;1.379;2.9;;;;;;2170.0;2880.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;695.0;;;;400.0;544.0;;Automatisk;;;AWD;;3.7;;;250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 430 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan;Elektrisk;Automatisk;Black Edition;4.963;1.966;2.144;1.379;2.9;;;;;;2170.0;2880.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;410.0;;;;320.0;435.0;;Automatisk;;;RWD;;4.8;;;230.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 450 000;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan 4;Elektrisk;Automatisk;Black Edition;4.963;1.966;2.144;1.379;2.9;;;;;;2170.0;2880.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;585.0;;;;320.0;435.0;;Automatisk;;;AWD;;4.6;;;230.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 500 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan 4S;Elektrisk;Automatisk;Black Edition;4.963;1.966;2.144;1.379;2.9;;;;;;2170.0;2880.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;695.0;;;;440.0;598.0;;Automatisk;;;AWD;;3.7;;;250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 610 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan GTS;Elektrisk;Automatisk;;4.963;1.966;2.144;1.381;2.9;;;;;;2295.0;2850.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;93.0;83.7;;11.0;270.0;;;;;;;;;;;850.0;;;;515.0;700.0;;Automatisk;;;AWD;;3.3;;;250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 740 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Turbo;Elektrisk;Automatisk;;4.962;1.966;2.144;1.381;2.9;;;;;;2290.0;2880.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;105.0;97.0;;11.0;270.0;;;;;;;;;;;890.0;;;;650.0;884.0;;Automatisk;;;AWD;;2.7;;;260.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 050 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Turbo S;Elektrisk;Automatisk;;4.962;1.966;2.144;1.378;2.9;;;;;;2295.0;2870.0;;;;;;;Sportsedan;4.0;4.0;407.0;;84.0;;;105.0;97.0;;11.0;270.0;;;;;;;;;;;1110.0;;;;700.0;952.0;;Automatisk;;;AWD;;2.4;;;260.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 440 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Turbo GT;Elektrisk;Automatisk;;4.968;1.998;2.144;1.378;2.9;;;;;;2290.0;2710.0;;;;;;;Sportsedan;4.0;2.0;407.0;;84.0;;;105.0;97.0;;11.0;270.0;;;;;;;;;;;1240.0;;;;760.0;1.0;;Automatisk;;;AWD;;2.3;;;290.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 780 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Turbo GT;Elektrisk;Automatisk;Weissach Package;4.968;1.998;2.144;1.378;2.9;;;;;;2290.0;2710.0;;;;;;;Sportsedan;4.0;2.0;407.0;;84.0;;;105.0;97.0;;11.0;270.0;;;;;;;;;;;1240.0;;;;760.0;1.0;;Automatisk;;;AWD;;2.2;;;305.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 780 000;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/taycan-models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Sport Turismo;Elektrisk;;;4.963;1.966;2.144;1.39;2.9;;;;;;2190.0;2880.0;;;;;;;Sport Turismo;4.0;4.0;530.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;410.0;;;;300.0;408.0;;;;;RWD;;4.8;;;230.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 250 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan 4S Sport Turismo;Elektrisk;;;4.963;1.966;2.144;1.39;2.9;;;;;;2190.0;2880.0;;;;;;;Sport Turismo;4.0;4.0;530.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;695.0;;;;340.0;462.0;;;;;AWD;;3.7;;;250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 440 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Sport Turismo;Elektrisk;;Black Edition;4.963;1.966;2.144;1.39;2.9;;;;;;2190.0;2880.0;;;;;;;Sport Turismo;4.0;4.0;530.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;410.0;;;;300.0;408.0;;;;;RWD;;4.8;;;230.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 460 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan 4S Sport Turismo;Elektrisk;;Black Edition;4.963;1.966;2.144;1.39;2.9;;;;;;2190.0;2880.0;;;;;;;Sport Turismo;4.0;4.0;530.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;695.0;;;;340.0;462.0;;;;;AWD;;3.7;;;250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 620 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan GTS Sport Turismo;Elektrisk;;;4.963;1.966;2.144;1.39;2.9;;;;;;2295.0;2850.0;;;;;;;Sport Turismo;4.0;4.0;530.0;;84.0;;;93.0;83.7;;11.0;270.0;;;;;;;;;;;850.0;;;;380.0;517.0;;;;;AWD;;3.7;;;250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 750 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Turbo Sport Turismo;Elektrisk;;;4.963;1.966;2.144;1.39;2.9;;;;;;2290.0;2880.0;;;;;;;Sport Turismo;4.0;4.0;530.0;;84.0;;;105.0;97.0;;11.0;270.0;;;;;;;;;;;890.0;;;;520.0;707.0;;;;;AWD;;2.7;;;260.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 060 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Turbo S Sport Turismo;Elektrisk;;;4.963;1.966;2.144;1.39;2.9;;;;;;2295.0;2880.0;;;;;;;Sport Turismo;4.0;4.0;530.0;;84.0;;;105.0;97.0;;11.0;270.0;;;;;;;;;;;1110.0;;;;570.0;775.0;;;;;AWD;;2.4;;;260.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 450 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan 4 Cross Turismo;Elektrisk;;;4.974;1.967;2.144;1.409;2.904;;;;;;2355.0;2880.0;;;;;;;Cross Turismo;4.0;4.0;530.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;585.0;;;;300.0;408.0;;;;;AWD;;4.7;;;220.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 380 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan 4S Cross Turismo;Elektrisk;;;4.974;1.967;2.144;1.409;2.904;;;;;;2355.0;2880.0;;;;;;;Cross Turismo;4.0;4.0;530.0;;84.0;;;89.0;82.3;;11.0;270.0;;;;;;;;;;;695.0;;;;340.0;462.0;;;;;AWD;;3.8;;;240.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 490 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Turbo Cross Turismo;Elektrisk;;;4.974;1.967;2.144;1.409;2.904;;;;;;2355.0;2880.0;;;;;;;Cross Turismo;4.0;4.0;530.0;;84.0;;;105.0;97.0;;11.0;270.0;;;;;;;;;;;890.0;;;;520.0;707.0;;;;;AWD;;2.8;;;260.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 070 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;Taycan;Taycan Turbo S Cross Turismo;Elektrisk;;;4.974;1.967;2.144;1.409;2.904;;;;;;2355.0;2880.0;;;;;;;Cross Turismo;4.0;4.0;530.0;;84.0;;;105.0;97.0;;11.0;270.0;;;;;;;;;;;1110.0;;;;570.0;775.0;;;;;AWD;;2.5;;;260.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 460 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/models/taycan/;;2025-12-12
Porsche;911;911 Carrera;Bensin;Automatisk;;4.542;1.852;2.033;1.303;2.45;;;;;;;;;;;;;;Coupé;2.0;4.0;261.0;373.0;136.0;62.8;;;;;;;;;;;;Bensin;2981.0;6.0;290.0;394.0;;;;;;;;PDK;;;RWD;;3.9;;;294.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 480 000;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/compare/?model-range=911;;2025-12-12
Porsche;911;911 Carrera T;Bensin;Manuell;;4.542;1.852;2.033;1.303;2.45;;;;;;;;;;;;;;Coupé;2.0;4.0;261.0;373.0;136.0;62.8;;;;;;;;;;;;Bensin;2981.0;6.0;290.0;394.0;;;;;;;;Manuell;;;RWD;;4.5;;;295.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 500 000;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/compare/?model-range=911;;2025-12-12
Porsche;911;911 Carrera S;Bensin;Automatisk;;4.542;1.852;2.033;1.303;2.45;;;;;;1553.0;1886.0;;;;;;;Coupé;2.0;4.0;261.0;373.0;136.0;62.8;;;;;;;;;;;;Bensin;2981.0;6.0;353.0;480.0;530.0;;;;;;;PDK;;;RWD;;3.3;3.1;;308.0;;11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 690 000;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.porsche.com/sweden/compare/?model-range=911;;2025-12-12
